--- Sheet: Account ---
,,,,,,,
,,,,,,,
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC01_001,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng ký tài khoản với thông tin hợp lệ,Người dùng chưa tồn tại trong hệ thống,1. Truy cập chức năng đăng ký,Họ tên: Nguyễn Văn A,Hệ thống tạo tài khoản thành công và lưu thông tin người dùng,High
,,,,2. Nhập thông tin tài khoản,Email: nguyenvana@gmail.com,,
,,,,3. Gửi yêu cầu đăng ký,SĐT: 0901234567,,
,,,,,Mật khẩu: 123456,,
TC01_002,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng ký tài khoản với email đã tồn tại,Email đã tồn tại trong hệ thống,1. Nhập thông tin đăng ký,Email: user_exist@gmail.com,Hệ thống từ chối tạo tài khoản và thông báo email đã tồn tại,High
,,,,2. Gửi yêu cầu,,,
TC01_003,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng ký tài khoản với số điện thoại không hợp lệ,Người dùng chưa tồn tại,1. Nhập thông tin đăng ký,SĐT: abc123,Hệ thống kiểm tra dữ liệu và trả lỗi thông tin không hợp lệ,Medium
,,,,2. Gửi yêu cầu,,,
TC01_004,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng ký tài khoản thiếu thông tin bắt buộc,Người dùng đang ở màn hình đăng ký,1. Bỏ trống trường bắt buộc,"Email: """"",Hệ thống không tạo tài khoản và yêu cầu nhập đầy đủ thông tin,High
,,,,2. Gửi yêu cầu,Password: 123456,,
TC01_005,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng ký tài khoản với dữ liệu null,API đăng ký đang hoạt động,1. Gửi request đăng ký,email=null,"API trả lỗi validation, không tạo tài khoản",High
,,,,2. Không truyền một số tham số,phone=null,,
TC01_006,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Kiểm tra giá trị biên mật khẩu tối thiểu,Người dùng đăng ký mới,1. Nhập mật khẩu tại giới hạn cho phép,Password = 8 ký tự,Hệ thống chấp nhận nếu thỏa điều kiện mật khẩu,Medium
,,,,2. Đăng ký,,,
TC01_007,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Kiểm tra mật khẩu vượt giới hạn,Người dùng đăng ký mới,Nhập mật khẩu vượt giới hạn,Password > MaxLength,Hệ thống từ chối dữ liệu không hợp lệ,Medium
TC01_008,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng nhập với thông tin hợp lệ,Người dùng đã đăng ký tài khoản,1. Nhập thông tin đăng nhập,Email: nguyenvana@gmail.com,"Đăng nhập thành công, hệ thống cấp quyền truy cập",High
,,,,2. Nhấn đăng nhập,Password:123456,,
TC01_009,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng nhập sai mật khẩu,Người dùng tồn tại,Nhập sai mật khẩu,Email: nguyenvana@gmail.com,Hệ thống từ chối đăng nhập và trả thông báo lỗi,High
,,,,,Password:wrong123,,
TC01_010,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng nhập không nhập email,Người dùng ở màn hình đăng nhập,Bỏ trống email và đăng nhập,"Email=""""",API trả lỗi dữ liệu bắt buộc,High
,,,,,Password=123456,,
TC01_011,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Đăng nhập không truyền thông tin xác thực,API yêu cầu xác thực,Gửi request không có token,Authorization=null,API trả lỗi Unauthorized,High
TC01_012,TS01 - Kiểm tra quy trình quản lý tài khoản người dùng,Cập nhật thông tin cá nhân hợp lệ,Người dùng đã đăng nhập,1. Mở chức năng cập nhật,Số điện thoại mới: 0912345678,Hệ thống cập nhật thông tin thành công,Medium
,,,,2. Thay đổi thông tin,,,
,,,,3. Lưu,,,

--- Sheet: Driver & Vehicle ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC02_001,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm thông tin tài xế với dữ liệu hợp lệ,Nhân viên vận hành đã đăng nhập và có quyền quản lý tài xế,1. Truy cập chức năng quản lý tài xế,DriverId: D001,Hệ thống tạo tài xế thành công và lưu thông tin,High
,,,,2. Chọn thêm tài xế,Name: Nguyễn Văn B,,
,,,,3. Nhập thông tin,Phone: 0901111111,,
,,,,4. Lưu dữ liệu,Status: Available,,
TC02_002,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm tài xế với thông tin đã tồn tại,Tài xế đã tồn tại trong hệ thống,1. Nhập thông tin tài xế,DriverId: D001 đã tồn tại,Hệ thống từ chối tạo mới và thông báo tài xế đã tồn tại,High
,,,,2. Gửi yêu cầu thêm mới,,,
TC02_003,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm tài xế thiếu thông tin bắt buộc,Nhân viên vận hành có quyền quản lý,1. Chọn thêm tài xế,DriverName: rỗng,Hệ thống không tạo tài xế và yêu cầu nhập đầy đủ thông tin,High
,,,,2. Bỏ trống thông tin bắt buộc,Phone: 0901111111,,
,,,,3. Lưu,,,
TC02_004,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm tài xế với dữ liệu null,API quản lý tài xế hoạt động,Gửi request thiếu tham số,DriverId: null,API trả lỗi validation và không lưu dữ liệu,High
,,,,,Name: null,,
TC02_005,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Cập nhật trạng thái tài xế thành Available,Tài xế đã tồn tại,1. Chọn tài xế,DriverId: D001,Hệ thống cập nhật trạng thái thành công,High
,,,,2. Cập nhật trạng thái,Status: Available,,
,,,,3. Lưu,,,
TC02_006,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Cập nhật trạng thái tài xế không hợp lệ,Tài xế tồn tại,Cập nhật trạng thái không nằm trong danh sách cho phép,"Status: ""ABC""",Hệ thống từ chối cập nhật trạng thái,Medium
TC02_007,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Tài xế Available nhận chuyến thành công,Có chuyến đang chờ tài xế,1. Hệ thống gửi yêu cầu nhận chuyến,DriverId: D001,Hệ thống xác nhận tài xế nhận chuyến thành công,High
,,,,2. Tài xế xác nhận nhận chuyến,Status: Available,Cập nhật trạng thái tài xế,
,,,,,TripId: T001,,
TC02_008,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Tài xế Busy nhận chuyến,Tài xế đang thực hiện chuyến khác,Gửi yêu cầu nhận chuyến,DriverId: D002,Hệ thống từ chối nhận chuyến theo Business Rule,High
,,,,,Status: Busy,,
TC02_009,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Tài xế từ chối chuyến,Tài xế nhận được yêu cầu chuyến,1. Tài xế chọn từ chối,DriverId: D001,Hệ thống ghi nhận từ chối và tiếp tục xử lý tìm tài xế khác,High
,,,,2. Gửi phản hồi,Action: Reject,,
TC02_010,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Tài xế không phản hồi yêu cầu trong thời gian quy định,Hệ thống đã gửi yêu cầu nhận chuyến,Chờ quá thời gian phản hồi,ResponseTime > Timeout,Hệ thống xử lý như không nhận chuyến và tìm tài xế khác,High
TC02_011,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm phương tiện với dữ liệu hợp lệ,Nhân viên vận hành có quyền quản lý phương tiện,1. Chọn thêm phương tiện,VehicleId: V001,Phương tiện được thêm thành công,Medium
,,,,2. Nhập thông tin,Type: Car,,
,,,,3. Lưu,LicensePlate: 59A-12345,,
TC02_012,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Thêm phương tiện thiếu biển số,Đang ở chức năng quản lý phương tiện,Nhập dữ liệu thiếu,LicensePlate: rỗng,Hệ thống không lưu phương tiện,Medium
TC02_013,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Kiểm tra giá trị biên thông tin phương tiện,Phương tiện đang tạo mới,Nhập dữ liệu tại giới hạn cho phép,LicensePlate = MaxLength,Hệ thống chấp nhận nếu đúng giới hạn,Low
TC02_014,TS02 - Kiểm tra quy trình quản lý tài xế và phương tiện,Lỗi hệ thống khi cập nhật tài xế,Database/service lỗi,Gửi yêu cầu cập nhật hợp lệ,Database timeout,"API trả lỗi hệ thống, không cập nhật dữ liệu sai",High

--- Sheet: Ride Booking ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC03_001,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng tạo chuyến xe với thông tin hợp lệ,Khách hàng đã đăng nhập hệ thống,1. Truy cập chức năng đặt chuyến,CustomerId: C001,Hệ thống tạo chuyến xe thành công và lưu thông tin chuyến,High
,,,,2. Nhập thông tin chuyến xe,PickupLocation: IUH Gò Vấp,,
,,,,3. Gửi yêu cầu đặt chuyến,Destination: Sân bay Tân Sơn Nhất,,
,,,,,VehicleType: CAR,,
,,,,,PickupTime: 10:00,,
TC03_002,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng không nhập điểm đón,Khách hàng đã đăng nhập,1. Mở chức năng đặt chuyến,PickupLocation: rỗng,Hệ thống từ chối tạo chuyến và yêu cầu nhập điểm đón,High
,,,,2. Nhập điểm đến,Destination: Sân bay Tân Sơn Nhất,,
,,,,3. Không nhập điểm đón,VehicleType: CAR,,
,,,,4. Gửi yêu cầu,,,
TC03_003,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng không nhập điểm đến,Khách hàng đã đăng nhập,1. Nhập điểm đón,PickupLocation: IUH Gò Vấp,Hệ thống trả lỗi dữ liệu bắt buộc và không tạo chuyến,High
,,,,2. Bỏ trống điểm đến,Destination: null,,
,,,,3. Gửi yêu cầu,VehicleType: CAR,,
